Car Number,Title,Specs,Price
1,Porsche Cayenne M/T,2007 | 3.6 Benzīns | Mehāniskā | 92070 km | 213 kW (290 HP) | Melna,€13900
2,Porsche Cayenne S,2012 | 4.8 Benzīns | Automātiskā | 234617 km | 294 kW (400 HP) | Balta,€14900
3,Porsche Boxster M/T,2002 | 2.7 Benzīns | Automātiskā | 38294 km | 162 kW (220 HP) | Sarkana,€15900
4,Porsche Boxster M/T,2003 | 2.7 Benzīns | Mehāniskā | 93311 km | 168 kW (228 HP) | Sudraba,€16900
5,Porsche Cayenne A/T,2010 | 3.6 Benzīns | Automātiskā | 172024 km | 220 kW (299 HP) | Melna,€17900
6,Porsche 968 Coupe Manual M030,1993 | 3.0 Benzīns | Mehāniskā | 114652 mil | 176 kW (239 HP) | Balta,€22500
7,Porsche 911 Carrera 2 AT Aero Kit,1999 | 3.4 Benzīns | Automātiskā | 118670 km | 221 kW (301 HP) | Zila,€25900
8,Porsche Macan 2.0T PDK,2018 | 2.0 Benzīns | Automātiskā | 95428 km | 185 kW (252 HP) | Brūna,€35900
9,Porsche Cayenne Turbo Techart Magnum,2011 | 4.8 Benzīns | Automātiskā | 112900 km | 368 kW (500 HP) | Balta,€36500
10,Porsche Cayenne 3.0T AT,2018 | 3.0 Benzīns | Automātiskā | 85410 km | 250 kW (340 HP) | Melna,€46500
11,Porsche 997 Targa 4S M/T,2006 | 3.8 Benzīns | Mehāniskā | 46714 km | 261 kW (355 HP) | Sarkana,€57000
12,Porsche Panamera 4,2018 | 3.0 Benzīns | Automātiskā | 66890 km | 243 kW (330 HP) | Balta,€59900
13,Porsche Taycan Performance Performance Plus,Elektro | Automātiskā | 280 kW (381 AG) | 65588 km,€62000
14,Porsche 997 Carrera 2 GTS,2011 | 3.8 Benzīns | Automātiskā | 23182 mil | 300 kW (408 HP) | Zila,€89900
15,Porsche 911 GT3 Clubsport,2018 | 4.0 Benzīns | Automātiskā | 19627 km | 368 kW (500 HP) | Melna,€149900
